Site 	 Comp. 	 perc TC 	 Dec. 	 Inc. 	 Nl 	 Np 	 k     	 R 	 a95 	 PLat 	 PLong
1 	 Characteristic 	 100 	 289.8 	 43.6 	 1 	  	  	  	  	 31.6515520179076 	 185.574506201037
2 	 Characteristic 	 100 	 285.7 	 42 	 1 	  	  	  	  	 28.1100855266739 	 187.514757951704
3 	 Characteristic 	 100 	 307.4 	 37.9 	 1 	  	  	  	  	 40.260603763627 	 167.886291663853
4 	 Characteristic 	 100 	 302.8 	 29.9 	 1 	  	  	  	  	 33.4602147175894 	 167.498809673481
5 	 Characteristic 	 100 	 294.7 	 42.5 	 1 	  	  	  	  	 34.309262680684 	 181.256819264415
6 	 Characteristic 	 100 	 106.1 	 -44.2 	 1 	  	  	  	  	 29.540888724665 	 188.653302233549
7 	 Characteristic 	 100 	 109.8 	 -62.4 	 1 	  	  	  	  	 42.9002039545851 	 203.816622097751
8 	 Characteristic 	 100 	 140.7 	 -64.8 	 1 	  	  	  	  	 63.7776075599249 	 192.735742120783
9 	 Characteristic 	 100 	 110 	 -56.6 	 1 	  	  	  	  	 39.3249568770275 	 196.48785454868
10 	 Characteristic 	 100 	 128.2 	 -42 	 1 	  	  	  	  	 42.8964500089465 	 169.933901749552
11 	 Characteristic 	 100 	 88.3 	 -59.1 	 1 	  	  	  	  	 27.7951240482415 	 211.800334776776
12 	 Characteristic 	 100 	 118.6 	 -48.9 	 1 	  	  	  	  	 40.3665891534885 	 183.175792000763
13 	 Characteristic 	 100 	 128.1 	 -38 	 1 	  	  	  	  	 40.7568820623877 	 167.304340502941
14 	 Characteristic 	 100 	 108.2 	 -55.8 	 1 	  	  	  	  	 37.6670868845014 	 196.752533703417
15 	 Characteristic 	 100 	 118.5 	 -46 	 1 	  	  	  	  	 38.6895102061663 	 180.853175484008
16 	 Characteristic 	 100 	 106 	 -54.2 	 1 	  	  	  	  	 35.2620282856413 	 196.54417083399
17 	 Characteristic 	 100 	 93.7 	 -54.1 	 1 	  	  	  	  	 27.4920710502451 	 204.126214854975
18 	 Characteristic 	 100 	 116 	 -53 	 1 	  	  	  	  	 41.0179152727302 	 188.80620151192
19 	 Characteristic 	 100 	 131.7 	 -64.9 	 1 	  	  	  	  	 58.0163418751781 	 197.301218345051
20 	 Characteristic 	 100 	 119.9 	 -55.8 	 1 	  	  	  	  	 45.238713342676 	 189.219268487064
21 	 Characteristic 	 100 	 94.3 	 -65.5 	 1 	  	  	  	  	 36.0203329339761 	 215.728716807313
22 	 Characteristic 	 100 	 91.8 	 -58.2 	 1 	  	  	  	  	 29.166010387561 	 208.879672262394
23 	 Characteristic 	 100 	 114.3 	 -64 	 1 	  	  	  	  	 46.6399493497422 	 203.882599643724
24 	 Characteristic 	 100 	 116.8 	 -40.4 	 1 	  	  	  	  	 34.6109661071803 	 178.247414688521
25 	 Characteristic 	 100 	 126.3 	 -58.7 	 1 	  	  	  	  	 51.1652982890989 	 188.893404788527
26 	 Characteristic 	 100 	 112 	 -75.1 	 1 	  	  	  	  	 51.2095812727701 	 227.884158659996
27 	 Characteristic 	 100 	 118.6 	 -70.3 	 1 	  	  	  	  	 52.6178246762389 	 214.556099791337
28 	 Characteristic 	 100 	 132.6 	 -54.1 	 1 	  	  	  	  	 52.6136722373039 	 177.838245917296
29 	 Characteristic 	 100 	 129.1 	 -54.5 	 1 	  	  	  	  	 50.5404827564829 	 181.098043519388
30 	 Characteristic 	 100 	 80.5 	 -80.4 	 1 	  	  	  	  	 42.493933036856 	 246.401995312288
